Institute,Academic Program Name,Quota,Seat Type,Gender,Round 1 - Closing Rank,Round 2 - Closing Rank,Round 3 - Closing Rank,Round 4 - Closing Rank,Round 5 - Closing Rank
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,70998,84852,85312,93262,95769
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,3737,4141,4381,4381,4381
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,11452,13496,13812,14673,16001
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,25175,29742,30529,32565,36028
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),25049,30560,32543,32543,32623
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11548,12864,14973,15929,15929
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),12646,12646,15320,15320,15320
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3076,5990,6129,6129,6807
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,131408,153678,171977,180185,202908
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),119217,119217,119217,119217,213377
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,20473,23684,27236,32818,35618
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,67860,72099,79027,81244,90049
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),75635,80326,80326,80326,83820
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,17843,19128,19225,19225,19225
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,6129,6834,7378,7378,7378
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,50021,54588,54588,55787,59095
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),43342,49731,49731,49731,49731
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1852,3672,3672,3672,3672
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,8343,9106,9402,9402,9445
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,18556,21186,22728,22913,23752
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),20571,25658,25677,25677,25677
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,9778,10931,10973,10973,10973
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3528,4461,4461,4461,4461
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,88091,101309,104248,104248,114987
