Institute_Type,College_Code,College_Name,CAP_Seats,Choice_Code,Course_Name,SI,MS_Seats,Minority_Seats,All_India,Institute_Seats,Orphan,Row_Type,OPEN_G,OPEN_L,SC_G,SC_L,ST_G,ST_L,VJ/DT_G,VJ/DT_L,NTB_G,NTB_L,NTC_G,NTC_L,NTD_G,NTD_L,OBC_G,OBC_L,SEBC_G,SEBC_L,Total_G+L
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100219110,Civil Engineering,60,60,0,0,0,1,State Level,15,7,6,2,3,1,1,1,1,0,1,1,1,0,6,3,4,2,55
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100219110,Civil Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100219110,Civil Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100219110,Civil Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224210,Computer Science and Engineering,60,60,0,0,0,1,State Level,15,6,5,3,3,1,1,0,1,1,2,0,0,1,7,3,4,2,55
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224210,Computer Science and Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224210,Computer Science and Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224210,Computer Science and Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224610,Information Technology,60,60,0,0,0,1,State Level,16,6,5,2,2,2,2,0,2,0,1,1,2,0,7,2,4,1,55
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224610,Information Technology,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224610,Information Technology,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100224610,Information Technology,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100229310,Electrical Engineering,60,60,0,0,0,1,State Level,14,7,6,2,3,1,1,1,1,1,2,0,1,0,6,3,4,2,55
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100229310,Electrical Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100229310,Electrical Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100229310,Electrical Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,State Level,16,6,5,2,4,1,1,1,1,0,1,1,0,1,6,3,4,2,55
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government Autonomous,01002,"Government College of Engineering, Amravati",60,0100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government Autonomous,01002,"Government College of Engineering, Amravati",30,0100246610,Instrumentation Engineering,30,30,0,0,0,0,State Level,7,3,2,2,1,1,1,0,0,1,1,0,1,0,4,1,2,1,28
Government Autonomous,01002,"Government College of Engineering, Amravati",30,0100246610,Instrumentation Engineering,30,30,0,0,0,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
