Sr. No.,Institute Code,Institute Name,Status,Total Intake
1,1002,"Government College of Engineering, Amravati","Government, Autonomous",390
2,1005,"Sant Gadge Baba Amravati University,Amravati",University Department,60
3,1012,"Government College of Engineering,Yavatmal",Government,300
4,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,420
5,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati","Un-Aided, Autonomous",900
6,1107,"P. R. Pote Patil College of Engineering & Management, Amravati","Un-Aided, Autonomous",780
7,1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Un-Aided, Autonomous",600
8,1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Un-Aided,480
9,1117,"Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad",Un-Aided,420
10,1119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,Un-Aided,345
11,1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","Un-Aided, Autonomous, Linguistic Minority - Hindi",390
12,1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Un-Aided,300
13,1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Un-Aided,360
14,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Un-Aided,240
15,1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Un-Aided,360
16,1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal","Un-Aided, Autonomous",540
17,1128,"Prof Ram Meghe College of Engineering and Management, Badnera",Un-Aided,480
18,1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Un-Aided,180
19,1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Un-Aided,300
20,1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Un-Aided,360
21,1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Un-Aided,360
22,1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Un-Aided,210
23,1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Un-Aided,267
24,2008,"Government College of Engineering, Chhatrapati Sambhajinagar","Government, Autonomous",360
25,2015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR",Government,180
26,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded","Government-Aided, Autonomous",610
27,2021,"University Department of Chemical Technology, Aurangabad",University Department,22
28,2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna","University Managed, Autonomous",60
29,2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar","Un-Aided, Religious Minority - Muslim",330
30,2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Un-Aided,600
31,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","Un-Aided, Autonomous",1350
32,2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad","Un-Aided, Autonomous",540
33,2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Un-Aided,300
34,2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Un-Aided,600
35,2129,"M.S. Bidve Engineering College, Latur",Un-Aided,480
36,2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Un-Aided,300
37,2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Un-Aided,240
38,2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Un-Aided,450
39,2134,"Peoples Education Society's College of Engineering, Aurangabad","Un-Aided, Autonomous",420
40,2135,"Hi-Tech Institute of Technology, Aurangabad",Un-Aided,360
41,2136,"Aditya Engineering College , Beed",Un-Aided,780
42,2137,"Nagnathappa Halge Engineering College, Parli, Beed",Un-Aided,240
43,2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Un-Aided,240
44,2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Un-Aided,150
45,2189,"Vishweshwarayya Institute Of Engineering And Technology, Almala, Tq. Ausa, Dist. Latur",Un-Aided,180
46,2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Un-Aided,375
47,2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Un-Aided,210
48,2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Un-Aided,360
49,2282,"Mitthulalji Sarada Institute Of Technology, Nalwandi Road, Beed",Un-Aided,360
50,2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Un-Aided,570
51,2516,International Centre Of Excellence In Engineering and Management (ICEEM),Un-Aided,270
52,2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Un-Aided,420
53,2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Un-Aided,840
54,2634,"Eaglewood Polytechnic Institute, A.P Phulepimpalgaon",Un-Aided,240
55,2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Un-Aided,330
56,2641,Dr. V.K. Patil College of Engineering & Technology,Un-Aided,240
57,2666,Mangaldeep College of Engineering,Un-Aided,300
58,2758,Sant Eknath College of Engineering,Un-Aided,300
59,2770,"Shetkari Shikshan Prasarak Mandal's Mahesh Institute of Engineering and Technology , Ashti",Un-Aided,300
60,2771,Amolak College of Engineering Kada,"Un-Aided, Religious Minority - Jain",240
61,2772,"JSPM College of Engineering, Latur",Un-Aided,240
62,2777,CDS College of Engineering,Un-Aided,300
63,2779,NKSPT INSTITUTE OF ENGINEERING AND TECHNOLOGY PATHIKAR CAMPUS,Un-Aided,300
64,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540
65,3014,"Sardar Patel College of Engineering, Andheri","Government-Aided, Autonomous",180
66,3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,"Government-Aided, Linguistic Minority - Gujarathi",240
67,3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",University,558
68,3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",University Managed (Un-Aided),360
69,3036,"Institute of Chemical Technology, Matunga, Mumbai","Deemed University, Autonomous",209
70,3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Government,300
71,3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Un-Aided,480
72,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai","Un-Aided, Autonomous",660
73,3143,"Thakur Shyamnarayan Engineering College, Mumbai","Un-Aided, Linguistic Minority - Hindi",420
74,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,600
75,3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Un-Aided,300
76,3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi(Jain)",720
77,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai","Un-Aided, Autonomous",600
78,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Un-Aided,810
79,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai","Un-Aided, Autonomous, Linguistic Minority - Hindi",1620
80,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","Un-Aided, Linguistic Minority - Sindhi",540
81,3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai","Un-Aided, Religious Minority - Muslim",540
82,3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai","Un-Aided, Autonomous, Religious Minority - Christian",480
