Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
1,COEP Technological University,12-13,Tier 1,16006,https://www.coeptech.ac.in/
2,"VJTI, Matunga, Mumbai",13-14,Tier 1,3012,https://vjti.ac.in/
3,"Sardar Patel Institute of Technology, Andheri",14-15,Tier 1,3215,https://www.spit.ac.in/
4,Pune Institute of Computer Technology,11-12,Tier 1,6271,https://www.pict.edu/
5,"Institute of Chemical Technology, Matunga",8-9,Tier 1,3036,https://www.ictmumbai.edu.in/
6,"Dwarkadas J. Sanghvi College of Engineering, Vile Parle",10-11,Tier 1,3199,https://www.djsce.ac.in/
7,"Cummins College of Engineering for Women, Pune",12-13,Tier 1,6276,https://cumminscollege.org/
8,"Walchand College of Engineering, Sangli",10-11,Tier 1,6007,https://walchandsangli.ac.in/
9,"Thadomal Shahani Engineering College, Bandra",8-9,Tier 1,6273,https://tsec.edu/
10,"Vishwakarma Institute of Technology, Pune",7-8,Tier 1,3182,https://www.vit.edu/
11,"Pimpri Chinchwad College of Engineering, Pune",7-8,Tier 1,6175,https://www.pccoepune.com/
12,"Vivekanand Education Society's Institute of Technology, Chembur",6-7,Tier 1,3185,https://vesit.ves.ac.in/
13,"Laxminarayan Innovation Technological University, Nagpur",6-7,Tier 2,14005,https://litu.edu.in/
14,"Fr. Conceicao Rodrigues College of Engineering, Bandra",6-7,Tier 2,3184,https://frcrce.ac.in/
15,K J Somaiya Institute of Technology,5-6,Tier 2,3209,https://kjsit.somaiya.edu.in/en
16,"Pune Vidyarthi Griha's College of Engineering, Pune",6-7,Tier 2,6274,https://www.pvgcoet.ac.in/
17,"D.Y. Patil College of Engineering Akurdi, Pune",6-7,Tier 2,6272,https://www.dypcoeakurdi.ac.in/
18,"Government College of Engineering, Chhatrapati Sambhajinagar",5-6,Tier 2,2008,https://geca.ac.in/
19,"Government College of Engineering, Amravati",5-6,Tier 2,1002,https://gcoea.ac.in/
20,"Vidyalankar Institute of Technology, Wadala",5-6,Tier 2,3139,https://vidyalankar.edu.in/vidyalankar-institute-of-technology/
21,"Sardar Patel College of Engineering, Andheri",6-7,Tier 2,3014,https://www.spce.ac.in/
22,"Government College of Engineering, Karad",5-6,Tier 2,6005,https://gcekarad.ac.in/
23,"Thakur College of Engineering and Technology, Kandivali",5-6,Tier 2,3176,https://www.tcetmumbai.in/
24,"Government College of Engineering, Nagpur",5-6,Tier 2,4025,https://gcoen.ac.in/
25,"FR. C. Rodrigues Institute of Technology, Vashi",5-6,Tier 2,3197,https://www.fcrit.ac.in/
26,"AISSMS College of Engineering, Pune",5-6,Tier 2,6278,https://aissmscoe.com/
27,"AISSMS Institute of Information Technology, Pune",5-6,Tier 2,6282,https://aissmsioit.org/
28,"Rajarshi Shahu College of Engineering, Tathawade",5-6,Tier 2,6141,https://www.jspmrscoe.edu.in/
29,"Pimpri Chinchwad College of Engineering and Research, Ravet",5-6,Tier 2,6822,https://www.pccoer.com/
30,"Shri Guru Gobind Singhji Institute of Engineering, Nanded",5-6,Tier 2,2020,https://www.sggs.ac.in/
31,"MIT Academy of Engineering, Alandi",5-6,Tier 2,6146,https://mitaoe.ac.in/
32,"Don Bosco Institute of Technology, Mumbai",5-6,Tier 2,3208,https://www.dbit.in/
33,"International Institute of Information Technology (I²IT), Pune",5-6,Tier 2,6754,https://www.isquareit.edu.in/
34,"D.Y. Patil Institute of Technology, Pimpri",5-6,Tier 2,6207,https://engg.dypvp.edu.in/
35,"Marathwada Mitra Mandal's College of Engineering, Pune",5-6,Tier 2,6156,https://mmcoe.edu.in/
36,"St. Francis Institute of Technology, Borivali",5-6,Tier 2,3204,https://www.sfit.ac.in/
