,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Region Code Prefix [1, 2, 3, 4, 5, 6, 7]",DTE Region Name,Major Home Universities Included,Example Colleges
1xxx (or 01xx),Amravati,Sant Gadge Baba Amravati University (SGBAU),"1002 - GCOE Amravati
1101 - SSGMCE Shegaon"
2xxx (or 02xx),Chhatrapati Sambhajinagar (Aurangabad),"Dr. Babasaheb Ambedkar Marathwada University (BAMU), SRTMUN","2021 - UDCT Aurangabad
2113 - MIT Aurangabad"
3xxx (or 03xx),Mumbai,University of Mumbai (MU),"3012 - VJTI Mumbai
3190 - Terna Engineering College"
4xxx (or 04xx),Nagpur,Rashtrasant Tukadoji Maharaj Nagpur University (RTMNU),"4015 - VNIT (State Seats) / GCOE Nagpur
4115 - RCOEM Nagpur"
5xxx (or 05xx),Nashik,"SPPU (Nashik/Ahmednagar districts), KBCNMU (Jalgaon)","5012 - GCOE Jalgaon
5121 - K.K. Wagh Nashik"
6xxx (or 06xx),Pune,"Savitribai Phule Pune University (SPPU), Shivaji University, Solapur University","6006 - COEP Technological University
6273 - VIT Pune"
